Resume,Category
"Python Machine Learning Data Analysis Pandas NumPy","Data Science"
"Deep Learning Neural Networks TensorFlow AI","AI/ML"
"HTML CSS JavaScript React Bootstrap","Web Development"
"Penetration Testing Ethical Hacking Network Security","Cyber Security"
"Data Visualization Statistics SQL Python","Data Science"
"Computer Vision NLP TensorFlow PyTorch","AI/ML"
"PHP Laravel MySQL JavaScript HTML","Web Development"
"Cyber Security Malware Analysis Firewall","Cyber Security"
"Machine Learning Scikit-Learn Feature Engineering","Data Science"
"Artificial Intelligence Deep Learning NLP","AI/ML"
"Frontend Development React NodeJS HTML CSS","Web Development"
"Digital Forensics Network Security Ethical Hacking","Cyber Security"
